case_id,activity,timestamp,resource,batch_size
BATCH_00001,Raw Material Arrival,2023-09-30 19:55:32.480003,Warehouse Staff 1,2828
BATCH_00001,Raw Material Arrival,2023-09-30 20:07:13.364550,Warehouse Staff 1,2828
BATCH_00001,Quality Check (Raw Material),2023-09-30 20:56:05.936871,Worker B,2828
BATCH_00001,Storage (Raw Material),2023-09-30 22:04:15.325627,Machine X,2828
BATCH_00001,Material Allocation,2023-09-30 22:20:17.587209,Worker A,2828
BATCH_00001,Production Batch Start,2023-10-01 00:00:00.000000,Machine X,2828
BATCH_00001,In-Process Quality Check,2023-10-01 01:18:26.764610,Worker A,2828
BATCH_00001,Assembly/Packaging,2023-10-01 03:21:13.454198,Warehouse Staff 1,2828
BATCH_00001,Final Quality Check,2023-10-01 04:24:09.733195,Worker A,2828
BATCH_00001,Storage (Finished Goods),2023-10-01 06:25:21.124935,Machine Y,2828
BATCH_00001,Order Fulfillment,2023-10-01 07:05:05.755108,Machine X,2828
BATCH_00001,Shipment,2023-10-01 07:46:41.365245,Machine X,2828
BATCH_00002,Raw Material Arrival,2023-09-30 17:38:12.483787,Machine Y,1747
BATCH_00002,Raw Material Arrival,2023-09-30 18:06:10.366283,Worker B,1747
BATCH_00002,Quality Check (Raw Material),2023-09-30 18:35:14.954036,Machine X,1747
BATCH_00002,Storage (Raw Material),2023-09-30 19:41:38.265761,Warehouse Staff 1,1747
BATCH_00002,Material Allocation,2023-09-30 20:09:15.091635,Machine X,1747
BATCH_00002,Production Batch Start,2023-10-01 00:00:00.000000,Machine Y,1747
BATCH_00002,In-Process Quality Check,2023-10-01 00:22:34.337137,Worker A,1747
BATCH_00002,Assembly/Packaging,2023-10-01 05:10:55.902185,Machine Y,1747
BATCH_00002,Final Quality Check,2023-10-01 05:51:34.067336,Machine Y,1747
BATCH_00002,Storage (Finished Goods),2023-10-01 07:23:26.567116,Warehouse Staff 1,1747
BATCH_00002,Order Fulfillment,2023-10-01 09:31:33.117460,Machine Y,1747
BATCH_00002,Shipment,2023-10-01 10:13:06.060163,Warehouse Staff 1,1747
BATCH_00003,Raw Material Arrival,2023-09-30 15:26:32.441672,Warehouse Staff 1,4434
BATCH_00003,Raw Material Arrival,2023-09-30 15:34:58.274803,Warehouse Staff 1,4434
BATCH_00003,Quality Check (Raw Material),2023-09-30 16:17:30.055532,Worker A,4434
BATCH_00003,Storage (Raw Material),2023-09-30 18:10:00.563229,Worker B,4434
BATCH_00003,Material Allocation,2023-09-30 18:31:23.836912,Machine X,4434
BATCH_00003,Production Batch Start,2023-10-01 00:00:00.000000,Machine X,4434
BATCH_00003,In-Process Quality Check,2023-10-01 00:24:40.525781,Worker A,4434
BATCH_00003,Assembly/Packaging,2023-10-01 03:33:00.316554,Machine Y,4434
BATCH_00003,Final Quality Check,2023-10-01 04:11:46.524102,Worker B,4434
BATCH_00003,Storage (Finished Goods),2023-10-01 05:35:30.828199,Worker B,4434
BATCH_00003,Order Fulfillment,2023-10-01 05:58:06.233491,Machine X,4434
BATCH_00003,Shipment,2023-10-01 06:40:44.153869,Worker B,4434
BATCH_00004,Raw Material Arrival,2023-09-30 19:58:12.130666,Machine Y,3877
BATCH_00004,Raw Material Arrival,2023-09-30 20:05:35.648533,Machine X,3877
BATCH_00004,Quality Check (Raw Material),2023-09-30 20:41:37.825414,Worker B,3877
BATCH_00004,Storage (Raw Material),2023-09-30 21:20:54.591416,Machine X,3877
BATCH_00004,Material Allocation,2023-09-30 21:40:14.931855,Machine X,3877
BATCH_00004,Production Batch Start,2023-10-01 00:00:00.000000,Warehouse Staff 1,3877
BATCH_00004,In-Process Quality Check,2023-10-01 00:23:28.395813,Worker B,3877
BATCH_00004,REWORK_Assembly/Packaging,2023-10-01 05:02:21.283142,Worker A,3877
BATCH_00004,Assembly/Packaging,2023-10-01 07:19:34.621818,Machine Y,3877
BATCH_00004,Final Quality Check,2023-10-01 08:25:43.526150,Machine Y,3877
BATCH_00004,Order Fulfillment,2023-10-01 08:53:21.007005,Worker A,3877
BATCH_00004,Shipment,2023-10-01 09:10:54.387109,Machine Y,3877
BATCH_00005,Raw Material Arrival,2023-09-30 12:06:48.920510,Worker B,3752
BATCH_00005,Raw Material Arrival,2023-09-30 12:33:22.537356,Machine Y,3752
BATCH_00005,Quality Check (Raw Material),2023-09-30 13:26:58.043077,Machine Y,3752
BATCH_00005,Storage (Raw Material),2023-09-30 14:09:09.008683,Machine Y,3752
BATCH_00005,Material Allocation,2023-09-30 14:52:37.342095,Warehouse Staff 1,3752
BATCH_00005,Production Batch Start,2023-10-01 00:00:00.000000,Machine X,3752
BATCH_00005,In-Process Quality Check,2023-10-01 00:20:50.669704,Worker B,3752
BATCH_00005,Assembly/Packaging,2023-10-01 02:57:44.230201,Machine X,3752
BATCH_00005,Final Quality Check,2023-10-01 03:20:50.729665,Machine X,3752
BATCH_00005,Storage (Finished Goods),2023-10-01 04:07:15.060859,Machine X,3752
BATCH_00005,Order Fulfillment,2023-10-01 05:58:09.225913,Warehouse Staff 1,3752
BATCH_00005,Shipment,2023-10-01 06:11:15.606932,Machine X,3752
BATCH_00006,Raw Material Arrival,2023-09-30 13:16:54.185918,Warehouse Staff 1,3197
BATCH_00006,Raw Material Arrival,2023-09-30 13:31:06.560205,Warehouse Staff 1,3197
BATCH_00006,Quality Check (Raw Material),2023-09-30 14:10:31.573882,Worker A,3197
BATCH_00006,Storage (Raw Material),2023-09-30 15:20:41.082826,Worker B,3197
BATCH_00006,Material Allocation,2023-09-30 15:33:56.861840,Warehouse Staff 1,3197
BATCH_00006,Production Batch Start,2023-10-01 00:00:00.000000,Warehouse Staff 1,3197
BATCH_00006,In-Process Quality Check,2023-10-01 01:18:31.432151,Machine X,3197
BATCH_00006,Assembly/Packaging,2023-10-01 05:40:10.071973,Machine Y,3197
BATCH_00006,REWORK_Final Quality Check,2023-10-01 06:43:25.037287,Worker A,3197
BATCH_00006,Final Quality Check,2023-10-01 07:50:06.750428,Machine X,3197
BATCH_00006,Storage (Finished Goods),2023-10-01 09:03:10.412991,Warehouse Staff 1,3197
BATCH_00006,Order Fulfillment,2023-10-01 11:05:02.166301,Machine Y,3197
BATCH_00006,Shipment,2023-10-01 11:21:15.061799,Machine Y,3197
BATCH_00007,Raw Material Arrival,2023-09-30 12:25:58.600917,Warehouse Staff 1,4604
BATCH_00007,Raw Material Arrival,2023-09-30 12:35:57.502898,Machine X,4604
BATCH_00007,Quality Check (Raw Material),2023-09-30 12:58:45.223205,Worker B,4604
BATCH_00007,Storage (Raw Material),2023-09-30 14:43:37.434704,Machine X,4604
BATCH_00007,Material Allocation,2023-09-30 14:57:32.191267,Worker B,4604
BATCH_00007,Production Batch Start,2023-10-01 00:00:00.000000,Machine X,4604
BATCH_00007,REWORK_In-Process Quality Check,2023-10-01 01:04:42.082629,Machine Y,4604
BATCH_00007,In-Process Quality Check,2023-10-01 01:28:14.641985,Worker B,4604
BATCH_00007,Assembly/Packaging,2023-10-01 05:52:21.677671,Machine X,4604
BATCH_00007,Final Quality Check,2023-10-01 07:01:16.493911,Machine X,4604
BATCH_00007,Storage (Finished Goods),2023-10-01 08:38:26.653750,Worker B,4604
BATCH_00007,Order Fulfillment,2023-10-01 10:09:50.708458,Machine X,4604
BATCH_00007,Shipment,2023-10-01 10:50:56.112872,Warehouse Staff 1,4604
BATCH_00008,Raw Material Arrival,2023-09-30 16:57:21.217393,Warehouse Staff 1,2399
BATCH_00008,Raw Material Arrival,2023-09-30 17:23:30.868374,Machine X,2399
BATCH_00008,REWORK_Quality Check (Raw Material),2023-09-30 17:52:22.871741,Warehouse Staff 1,2399
BATCH_00008,Raw Material Arrival,2023-09-30 18:12:41.696372,Worker A,2399
BATCH_00008,Quality Check (Raw Material),2023-09-30 18:47:35.293456,Machine Y,2399
BATCH_00008,Storage (Raw Material),2023-09-30 20:27:48.978624,Worker A,2399
BATCH_00008,Material Allocation,2023-09-30 20:53:48.479519,Machine X,2399
BATCH_00008,Production Batch Start,2023-10-01 00:00:00.000000,Warehouse Staff 1,2399
BATCH_00008,In-Process Quality Check,2023-10-01 00:59:10.480017,Worker B,2399
BATCH_00008,Assembly/Packaging,2023-10-01 03:38:24.227591,Warehouse Staff 1,2399
BATCH_00008,Final Quality Check,2023-10-01 04:16:36.898628,Worker B,2399
BATCH_00008,Storage (Finished Goods),2023-10-01 05:41:03.051532,Worker A,2399
BATCH_00008,Order Fulfillment,2023-10-01 06:38:41.013253,Warehouse Staff 1,2399
BATCH_00008,Shipment,2023-10-01 07:13:07.162010,Worker A,2399
BATCH_00009,Raw Material Arrival,2023-09-30 17:42:11.540584,Machine X,3741
